"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2020,3,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Atur Registrat",349
2020,3,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Atur Registrat",237
2020,3,10,"Sant Martí",68,"el Poblenou","Dones","Atur Registrat",813
2020,3,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Atur Registrat",362
2020,3,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Atur Registrat",826
2020,3,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Atur Registrat",559
2020,3,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Atur Registrat",778
2020,3,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Atur Registrat",880
2020,3,99,"No consta",99,"No consta","Dones","Atur Registrat",145
2020,3,1,"Ciutat Vella",1,"el Raval","Dones","Demanda No Aturats",349
2020,3,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Demanda No Aturats",132
2020,3,1,"Ciutat Vella",3,"la Barceloneta","Dones","Demanda No Aturats",137
2020,3,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Demanda No Aturats",193
2020,3,2,"Eixample",5,"el Fort Pienc","Dones","Demanda No Aturats",201
2020,3,2,"Eixample",6,"la Sagrada Família","Dones","Demanda No Aturats",340
2020,3,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Demanda No Aturats",197
2020,3,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Demanda No Aturats",218
2020,3,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Demanda No Aturats",337
2020,3,2,"Eixample",10,"Sant Antoni","Dones","Demanda No Aturats",253
2020,3,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Demanda No Aturats",296
2020,3,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Demanda No Aturats",12
2020,3,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Demanda No Aturats",239
2020,3,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Demanda No Aturats",75
2020,3,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Demanda No Aturats",114
2020,3,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Demanda No Aturats",134
2020,3,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Demanda No Aturats",136
2020,3,3,"Sants-Montjuïc",18,"Sants","Dones","Demanda No Aturats",267
2020,3,4,"Les Corts",19,"les Corts","Dones","Demanda No Aturats",267
2020,3,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Demanda No Aturats",135
2020,3,4,"Les Corts",21,"Pedralbes","Dones","Demanda No Aturats",33
2020,3,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Demanda No Aturats",11
2020,3,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Demanda No Aturats",67
2020,3,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Demanda No Aturats",44
2020,3,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Demanda No Aturats",70
2020,3,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Demanda No Aturats",150
2020,3,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Demanda No Aturats",158
