"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2011,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat",3333
2011,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat",904
2011,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat",822
2011,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat",1133
2011,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat",941
2011,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat",1522
2011,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat",997
2011,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat",1182
2011,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat",1585
2011,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat",1180
2011,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat",1859
2011,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat",70
2011,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat",1101
2011,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat",461
2011,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat",513
2011,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat",602
2011,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat",650
2011,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat",1232
2011,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat",1248
2011,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat",643
2011,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat",145
2011,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat",56
2011,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat",306
2011,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur registrat",218
2011,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur registrat",399
2011,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur registrat",766
2011,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur registrat",713
2011,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur registrat",456
2011,1,6,"Gràcia",29,"el Coll","Homes","Atur registrat",191
2011,1,6,"Gràcia",30,"la Salut","Homes","Atur registrat",392
2011,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur registrat",1581
2011,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur registrat",981
2011,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur registrat",759
2011,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur registrat",282
2011,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur registrat",1133
2011,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur registrat",371
2011,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur registrat",1264
2011,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur registrat",369
2011,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur registrat",220
2011,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur registrat",159
2011,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur registrat",170
2011,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur registrat",12
2011,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur registrat",979
2011,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur registrat",881
2011,1,8,"Nou Barris",45,"Porta","Homes","Atur registrat",880
2011,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur registrat",538
2011,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur registrat",78
2011,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur registrat",679
2011,1,8,"Nou Barris",49,"Canyelles","Homes","Atur registrat",331
2011,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur registrat",719
2011,1,8,"Nou Barris",51,"Verdun","Homes","Atur registrat",551
2011,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur registrat",989
2011,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur registrat",523
2011,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur registrat",146
2011,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur registrat",761
2011,1,8,"Nou Barris",56,"Vallbona","Homes","Atur registrat",88
2011,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur registrat",705
2011,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur registrat",83
2011,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur registrat",473
2011,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur registrat",1916
2011,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur registrat",925
2011,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur registrat",450
2011,1,9,"Sant Andreu",63,"Navas","Homes","Atur registrat",690
2011,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur registrat",1370
2011,1,10,"Sant Martí",65,"el Clot","Homes","Atur registrat",861
2011,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur registrat",395
2011,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur registrat",280
2011,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur registrat",953
2011,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Atur registrat",523
2011,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Atur registrat",1200
2011,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Atur registrat",705
2011,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Atur registrat",993
2011,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur registrat",1131
