"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2019,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat",1900
2019,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat",485
2019,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat",496
2019,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat",686
2019,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat",539
2019,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat",853
2019,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat",586
2019,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat",681
2019,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat",977
2019,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat",737
2019,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat",1095
2019,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat",50
2019,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat",740
2019,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat",274
2019,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat",302
2019,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat",354
2019,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat",382
2019,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat",726
2019,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat",745
2019,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat",378
2019,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat",82
2019,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat",44
2019,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat",196
2019,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur registrat",171
