"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2012,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat",3243
2012,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat",928
2012,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat",833
2012,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat",1148
2012,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat",973
2012,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat",1607
2012,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat",1052
2012,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat",1229
2012,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat",1725
2012,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat",1283
2012,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat",1945
2012,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat",86
2012,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat",1204
2012,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat",484
2012,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat",551
2012,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat",646
2012,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat",676
2012,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat",1307
2012,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat",1330
2012,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat",668
2012,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat",152
2012,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat",63
2012,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat",330
2012,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur registrat",245
2012,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur registrat",417
