"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2015,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat",2688
2015,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat",685
2015,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat",676
2015,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat",937
2015,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat",820
2015,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat",1332
2015,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat",838
2015,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat",1011
2015,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat",1465
2015,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat",1086
2015,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat",1700
2015,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat",88
2015,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat",1123
2015,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat",425
2015,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat",470
2015,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat",551
2015,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat",592
2015,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat",1128
2015,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat",1151
2015,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat",585
2015,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat",117
2015,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat",54
2015,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat",263
2015,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur registrat",210
2015,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur registrat",351
2015,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur registrat",645
2015,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur registrat",629
2015,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur registrat",419
2015,1,6,"Gràcia",29,"el Coll","Homes","Atur registrat",176
2015,1,6,"Gràcia",30,"la Salut","Homes","Atur registrat",340
2015,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur registrat",1322
2015,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur registrat",859
2015,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur registrat",662
2015,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur registrat",243
2015,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur registrat",1054
2015,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur registrat",338
2015,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur registrat",1151
2015,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur registrat",347
2015,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur registrat",209
2015,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur registrat",151
2015,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur registrat",161
2015,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur registrat",11
2015,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur registrat",977
2015,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur registrat",907
2015,1,8,"Nou Barris",45,"Porta","Homes","Atur registrat",886
2015,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur registrat",568
2015,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur registrat",80
2015,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur registrat",657
2015,1,8,"Nou Barris",49,"Canyelles","Homes","Atur registrat",320
2015,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur registrat",695
2015,1,8,"Nou Barris",51,"Verdun","Homes","Atur registrat",533
2015,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur registrat",999
2015,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur registrat",488
2015,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur registrat",136
2015,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur registrat",708
2015,1,8,"Nou Barris",56,"Vallbona","Homes","Atur registrat",82
2015,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur registrat",656
2015,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur registrat",78
2015,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur registrat",443
2015,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur registrat",1792
2015,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur registrat",819
2015,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur registrat",399
2015,1,9,"Sant Andreu",63,"Navas","Homes","Atur registrat",615
2015,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur registrat",1240
2015,1,10,"Sant Martí",65,"el Clot","Homes","Atur registrat",822
2015,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur registrat",393
2015,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur registrat",265
2015,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur registrat",909
