"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2014,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat",2864
2014,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat",703
2014,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat",741
2014,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat",1025
2014,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat",914
2014,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat",1481
2014,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat",950
2014,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat",1137
2014,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat",1639
2014,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat",1235
2014,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat",1896
2014,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat",93
2014,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat",1194
2014,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat",472
2014,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat",510
2014,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat",598
2014,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat",667
2014,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat",1242
2014,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat",1264
2014,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat",659
2014,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat",137
2014,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat",58
2014,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat",298
2014,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur registrat",225
2014,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur registrat",376
2014,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur registrat",770
2014,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur registrat",695
2014,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur registrat",452
2014,1,6,"Gràcia",29,"el Coll","Homes","Atur registrat",188
2014,1,6,"Gràcia",30,"la Salut","Homes","Atur registrat",378
2014,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur registrat",1522
2014,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur registrat",957
2014,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur registrat",736
2014,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur registrat",270
2014,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur registrat",1177
2014,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur registrat",386
2014,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur registrat",1313
2014,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur registrat",395
2014,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur registrat",238
2014,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur registrat",172
2014,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur registrat",183
2014,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur registrat",13
2014,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur registrat",1082
2014,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur registrat",1002
2014,1,8,"Nou Barris",45,"Porta","Homes","Atur registrat",997
2014,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur registrat",621
2014,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur registrat",87
2014,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur registrat",713
2014,1,8,"Nou Barris",49,"Canyelles","Homes","Atur registrat",348
2014,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur registrat",755
2014,1,8,"Nou Barris",51,"Verdun","Homes","Atur registrat",578
2014,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur registrat",1120
2014,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur registrat",526
2014,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur registrat",146
2014,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur registrat",763
2014,1,8,"Nou Barris",56,"Vallbona","Homes","Atur registrat",89
2014,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur registrat",707
2014,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur registrat",87
2014,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur registrat",493
2014,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur registrat",1995
2014,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur registrat",910
2014,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur registrat",443
2014,1,9,"Sant Andreu",63,"Navas","Homes","Atur registrat",683
2014,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur registrat",1350
2014,1,10,"Sant Martí",65,"el Clot","Homes","Atur registrat",907
2014,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur registrat",437
2014,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur registrat",289
2014,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur registrat",995
2014,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Atur registrat",513
2014,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Atur registrat",1178
2014,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Atur registrat",739
2014,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Atur registrat",1027
2014,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur registrat",1165
2014,1,99,"No consta",99,"No consta","Homes","Atur registrat",0
2014,1,1,"Ciutat Vella",1,"el Raval","Dones","Atur registrat",1724
2014,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Atur registrat",519
2014,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Atur registrat",668
2014,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Atur registrat",931
2014,1,2,"Eixample",5,"el Fort Pienc","Dones","Atur registrat",965
2014,1,2,"Eixample",6,"la Sagrada Família","Dones","Atur registrat",1561
2014,1,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Atur registrat",1065
