"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2016,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat",2431
2016,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat",588
2016,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat",637
2016,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat",878
2016,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat",693
2016,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat",1154
2016,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat",772
2016,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat",855
2016,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat",1255
2016,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat",922
2016,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat",1421
2016,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat",97
2016,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat",972
2016,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat",356
2016,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat",391
2016,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat",459
2016,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat",493
2016,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat",940
2016,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat",968
2016,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat",487
2016,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat",105
2016,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat",46
2016,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat",232
