CODI_ESTACIO,DATA_LECTURA,TM,TX,TN,HRM
X2,04/12/2019,12.5,14.4,10.2,89
X2,05/12/2019,12.5,14.1,10.8,83
X2,06/12/2019,12.3,16.8,9.4,85
X2,07/12/2019,11.3,16,8.3,84
X2,08/12/2019,10.5,14.9,6.8,80
X2,09/12/2019,12,16.2,7.9,66
X2,10/12/2019,9.8,14.1,6,73
X2,11/12/2019,10.4,16.2,6.6,72
X2,12/12/2019,11.4,13.6,8.8,60
X2,13/12/2019,16.8,20.3,12.1,61
X2,14/12/2019,16,18.2,11.8,57
X2,15/12/2019,13.8,17.9,10.1,67
X2,16/12/2019,12.4,15.4,8.8,86
X2,17/12/2019,14.5,16.9,12,89
X2,18/12/2019,14.1,17.5,10.9,86
X2,19/12/2019,12.9,15.5,9.4,88
X2,20/12/2019,15,17.8,13,86
X2,21/12/2019,15,18.7,11,77
X2,22/12/2019,16.3,18.5,13.3,48
X2,23/12/2019,12.9,16.2,9.1,60
X2,24/12/2019,12,17.7,7.8,74
X2,25/12/2019,11.9,18.1,7.4,82
X2,26/12/2019,11.7,16.3,8.6,83
X2,27/12/2019,10.2,14.5,7,79
X2,28/12/2019,9.8,14.7,5.5,84
X2,29/12/2019,12.1,14.4,10.3,77
X2,30/12/2019,11.1,14.3,7.5,76
X2,31/12/2019,10.6,14.1,6.7,72
